,,,,,,,,,,,
,,,,International Migrant Stock 2020: Destination,,,,,,,
,,,,"Table 4: Female migrants as a percentage of the international migrant stock by region, country or area of destination, 1990-2020",,,,,,,
,,,,POP/DB/MIG/Stock/Rev.2020,,,,,,,
,,,,"Suggested citation: United Nations Department of Economic and Social Affairs, Population Division (2020). International Migrant Stock 2020.",,,,,,,
,,,,"Copyright © 2020 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,
,,,,,,,,,,,
,,,,,Female migrants as a percentage of the international migrant stock,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
24,   Burundi,,108,B R,51.0,51.3,51.4,51.0,50.8,50.7,50.7
25,   Comoros,,174,B,52.3,52.6,52.8,52.4,52.0,51.6,51.6
26,   Djibouti,,262,B R,47.4,47.4,47.3,44.3,47.5,47.4,47.5
27,   Eritrea,,232,I R,47.4,47.2,47.1,45.9,45.1,44.6,43.9
28,   Ethiopia,,231,B R,47.4,47.4,47.3,47.5,47.6,49.1,50.5
29,   Kenya,,404,B R,45.9,47.9,50.1,48.2,50.5,50.0,49.5
30,   Madagascar,,450,C R,44.2,43.8,43.6,43.4,43.2,43.0,43.0
31,   Malawi,,454,B R,51.5,51.9,52.1,52.2,52.3,52.5,51.1
32,   Mauritius*,,480,C,51.2,56.9,63.3,54.5,46.9,44.6,44.6
33,   Mayotte*,1,175,B R,42.3,44.2,48.2,50.4,52.6,53.7,53.7
34,   Mozambique,,508,B R,46.0,45.8,47.3,51.5,51.7,51.7,51.2
35,   Réunion*,2,638,B,46.3,47.2,48.1,48.6,49.0,49.3,49.3
36,   Rwanda,,646,B R,49.5,49.1,49.4,49.6,49.9,50.2,49.4
37,   Seychelles,,690,B,40.8,41.3,41.6,35.3,31.7,30.0,30.0
38,   Somalia,,706,I R,48.9,47.3,47.1,46.6,47.6,47.3,44.9
39,   South Sudan,,728,B R,..,..,..,..,48.4,48.9,49.7
40,   Uganda,,800,B R,47.9,49.2,50.2,50.8,50.9,51.1,51.9
41,   United Republic of Tanzania*,,834,B R,50.6,50.5,49.3,36.9,50.1,50.4,50.0
42,   Zambia,,894,B R,48.8,48.7,49.1,49.1,49.4,49.5,48.1
43,   Zimbabwe,,716,B R,43.9,43.0,43.0,43.0,43.0,43.7,43.2
44,  Middle Africa,,911,,49.0,49.1,48.4,48.8,49.0,47.4,47.4
45,   Angola,,24,B R,45.9,47.9,49.3,50.7,51.7,51.8,49.5
46,   Cameroon,,120,B R,45.2,45.3,45.4,45.0,44.6,50.6,50.6
47,   Central African Republic,,140,C R,46.9,46.9,46.9,46.8,46.8,47.1,47.6
48,   Chad,,148,B R,46.0,46.1,46.1,54.6,55.2,53.8,54.4
49,   Congo,,178,B R,50.3,50.0,49.9,45.6,45.6,45.2,45.5
50,   Democratic Republic of the Congo,,180,B R,51.9,50.4,51.0,51.5,51.7,51.4,51.8
51,   Equatorial Guinea,,226,C,46.5,46.8,47.0,45.9,45.3,22.9,22.9
52,   Gabon,,266,C R,42.9,42.9,42.6,42.2,41.4,35.6,35.7
53,   Sao Tome and Principe,,678,C,47.1,48.4,49.3,49.7,49.9,50.0,50.1
54,  Northern Africa,,912,,48.8,46.9,44.4,40.2,40.8,40.5,43.6
55,   Algeria,,12,B R,45.2,45.2,45.2,45.2,47.1,47.2,47.2
56,   Egypt,,818,B R,47.1,47.0,46.8,42.0,43.8,41.3,46.8
57,   Libya,,434,C R,46.9,40.8,35.0,28.7,28.5,28.8,28.2
58,   Morocco,,504,C R,47.1,47.8,48.6,49.3,49.6,49.8,48.5
59,   Sudan,3,729,B R,50.4,50.1,49.7,49.1,49.2,49.7,50.3
60,   Tunisia,,788,C R,50.2,49.7,49.1,48.6,48.5,48.3,47.7
61,   Western Sahara,,732,I,45.5,44.8,44.1,42.8,41.9,40.9,40.9
62,  Southern Africa,,913,,39.7,40.2,41.2,42.5,42.5,45.2,43.3
63,   Botswana,,72,B R,39.6,41.5,41.5,41.9,43.1,43.1,43.0
64,   Eswatini,,748,B R,46.8,46.8,47.4,48.0,48.6,48.6,48.5
