País,Código de País,Código de ubicación,Año,Hombres,Mujeres
   Angola,AGO,24,2005,30736,31595
   Cameroon,CMR,120,2005,146129,119374
   Central African Republic,CAF,140,2005,51299,45110
   Chad,TCD,148,2005,159745,192385
   Congo,COG,178,2005,173229,145495
   Democratic Republic of the Congo,COD,180,2005,302359,320650
   Equatorial Guinea,GNQ,226,2005,3564,3024
   Gabon,GAB,266,2005,135107,98717
   Sao Tome and Principe,STP,678,2005,1727,1706
   Algeria,DZA,12,2005,108434,89294
   Egypt,EGY,818,2005,165211,119795
   Libya,LBY,434,2005,445685,179727
   Morocco,MAR,504,2005,28486,27736
   Sudan,SND,729,2005,278084,268335
   Tunisia,TUN,788,2005,18000,17040
   Western Sahara,ESH,732,2005,2224,1667
   Botswana,BWA,72,2005,49159,35502
   Eswatini,SWZ,748,2005,17369,16023
   Lesotho,LSO,426,2005,3402,2888
   Namibia,NAM,516,2005,57625,49722
   South Africa,ZAF,710,2005,782272,568759
   Benin,BEN,204,2005,122368,125952
   Burkina Faso,BFA,854,2005,285871,311787
   Cabo Verde,CPV,132,2005,6523,6177
   Côte d'Ivoire,CIV,384,2005,1254690,1010400
   Gambia,GMB,270,2005,96196,85643
   Ghana,GHA,288,2005,159527,150405
   Guinea,GIN,324,2005,113528,119891
   Guinea-Bissau,GNB,624,2005,10380,10522
   Liberia,LBR,430,2005,51197,36020
   Mali,MLI,466,2005,133344,125286
   Mauritania,MRT,478,2005,32642,25569
   Niger,NER,562,2005,59194,65315
   Nigeria,NGA,566,2005,564612,405102
   Saint Helena*,SHN,654,2005,85,78
   Senegal,SEN,686,2005,124854,113444
   Sierra Leone,SLE,694,2005,76709,69518
   Togo,TGO,768,2005,103233,100986
   Kazakhstan,KAZ,398,2005,1472820,1630207
   Kyrgyzstan,KGZ,417,2005,128064,181335
   Tajikistan,TJK,762,2005,121403,159063
   Turkmenistan,TKM,795,2005,101214,111839
   Uzbekistan,UZB,860,2005,589690,740242
   China*,CHN,156,2005,379920,299027
"   China, Hong Kong SAR*",HKG,344,2005,1185121,1536114
"   China, Macao SAR*",MAC,446,2005,130387,148921
"   China, Taiwan Province of China*",TWN,158,2005,0,0
   Dem. People's Republic of Korea,PRK,408,2005,19749,20348
   Japan,JPN,392,2005,931198,1080357
   Mongolia,MNG,496,2005,7577,3900
   Republic of Korea,KOR,410,2005,284305,201760
