,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
8323,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8324,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8325,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8326,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8327,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8328,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8329,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8330,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8331,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8332,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8333,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8334,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8335,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8336,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8337,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8338,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8339,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8340,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8341,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8342,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8343,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8344,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8345,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8346,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8347,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8348,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8349,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8350,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8351,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8352,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8353,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8354,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8355,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8356,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8357,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8358,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8359,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8360,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8361,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8362,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8363,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8364,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8365,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8366,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8367,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8368,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8369,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8370,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8371,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8372,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8373,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8374,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8375,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8376,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.96704016, 61.82069052"
8377,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.59566975, 52.55704088"
8378,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8379,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.63272498, 51.66985226"
8380,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8381,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.63272498, 51.66985226"
8382,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8383,Southern Asia,2020,2.0,2,,,2.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.63272498, 51.66985226"
8384,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8385,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.28755998, 57.07826423"
8386,Southern Asia,2020,1.0,1,,,1.0,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8387,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8388,Southern Asia,2020,1.0,1,,,1.0,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8389,Southern Asia,2020,1.0,1,,,1.0,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8390,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.57836777, 53.38994932"
8391,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.05518664, 50.94138736"
8392,Southern Asia,2020,1.0,1,,,1.0,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"34.10215024, 49.70410059"
8393,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"34.54233872, 49.86084463"
8394,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8395,Southern Asia,2020,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8396,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8397,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8398,Southern Asia,2020,2.0,2,,,2.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8399,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8400,Southern Asia,2020,2.0,2,,,2.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.28755998, 57.07826423"
8401,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.29007087, 50.00741557"
8402,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.63272498, 51.66985226"
8403,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.63272498, 51.66985226"
8404,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.63272498, 51.66985226"
8405,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.59566975, 52.55704088"
8406,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8407,Southern Asia,2020,1.0,1,,,1.0,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"31.88886789, 54.33745186"
8408,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8409,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8410,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.63272498, 51.66985226"
8411,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8412,Southern Asia,2020,3.0,3,,,3.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.28755998, 57.07826423"
8413,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8414,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.63272498, 51.66985226"
8415,Southern Asia,2020,2.0,2,,,2.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8416,Southern Asia,2020,2.0,2,,,2.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.02773412, 50.36334481"
8417,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8418,Southern Asia,2020,2.0,2,,,2.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.29007087, 50.00741557"
8419,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8420,Southern Asia,2020,1.0,1,,,1.0,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8421,Southern Asia,2020,1.0,1,,,1.0,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8422,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8423,Southern Asia,2020,1.0,1,,,1.0,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8424,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8425,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.41898984, 52.09988996"
8426,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"37.54562917, 45.05581139"
8427,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8428,Southern Asia,2020,1.0,1,,,1.0,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8429,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8430,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8431,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.07275875, 53.32829026"
8432,Southern Asia,2020,1.0,1,,,1.0,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8433,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8434,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"34.09191538, 49.71388529"
8435,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.88886789, 54.33745186"
8436,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8437,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8438,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.88886789, 54.33745186"
8439,Southern Asia,2020,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.72628222, 51.37384373"
8440,Western Asia,2020,1.0,1,,,1.0,,Northern Africa,Sudan,,"33.11696, 35.238641"
8441,North America,2020,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.535333, -113.124167"
8442,North America,2020,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.838333, -113.143166"
8443,North America,2020,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.758667, -112.3905"
8444,North America,2020,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.622, -109.211"
8445,North America,2020,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.08169, -112.34344"
8446,North America,2020,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.85305, -112.614167"
8447,North America,2020,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.840267, -112.59805"
8448,North America,2020,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.832783, -112.262633"
8449,Eastern Africa,2020,1.0,1,,,1.0,,Eastern Africa,Ethiopia,,"11.466877, 42.663748"
8450,North America,2020,1.0,1,,1.0,,,South America,Ecuador,US-Mexico border crossing,"31.1745732, -105.3571764"
8451,North America,2020,1.0,1,,1.0,,,South America,Ecuador,US-Mexico border crossing,"31.75235189, -106.49356235"
8452,North America,2020,1.0,1,,,1.0,,South America,Ecuador,US-Mexico border crossing,"31.00839265, -105.54009917"
8453,Mediterranean,2020,,11,1.0,2.0,9.0,1.0,Northern Africa,Libya,Central Mediterranean,"33.5691, 13.49129"
8454,Mediterranean,2020,5.0,5,,,3.0,,Northern Africa,"Egypt,Unknown",Central Mediterranean,"31.51175298, 25.45455957"
8455,Mediterranean,2020,3.0,3,17.0,,3.0,,Northern Africa,Morocco,Western Mediterranean,"35.20067865, -3.86114201"
8456,Western Asia,2020,1.0,1,,,1.0,,Southern Asia,Pakistan,,"41.1923644, 26.41955036"
8457,Western Asia,2020,1.0,1,,,1.0,,Unknown,Unknown,Türkiye-Europe land route,"41.333301, 26.608104"
8458,Western Asia,2020,1.0,1,,,1.0,,Unknown,Unknown,Türkiye-Europe land route,"41.31176728, 26.61406431"
8459,Eastern Africa,2020,,14,,,,,Eastern Africa,Comoros,Comoros to Mayotte,"-12.565108, 44.862988"
8460,Northern Africa,2020,2.0,2,,,2.0,,Western Africa (P),Unknown,,"36.74367487, 3.10122002"
8461,Northern Africa,2020,1.0,1,,,1.0,,Western Africa (P),Unknown,Sahara Desert crossing,"22.75508923, -1.27638757"
8462,Northern Africa,2020,,2,,,2.0,,Western Africa (P),Unknown,,"22.75508923, -1.27638757"
8463,Northern Africa,2020,,3,,1.0,2.0,,Western Africa (P),Unknown,,"36.74367487, 3.10122002"
8464,Northern Africa,2020,,4,,1.0,3.0,,Western Africa (P),Unknown,,"36.07141619, 4.76189315"
8465,Northern Africa,2020,1.0,1,,,1.0,,Western Africa,Niger,Sahara Desert crossing,"20.800538, 5.260963"
8466,Western Africa,2020,4.0,4,2.0,,,,Unknown,Unknown,Sahara Desert crossing,"18.929053, 11.42186"
8467,Western Africa,2020,10.0,10,,,,,Western Africa,Niger,Sahara Desert crossing,"20.413586, 12.288592"
8468,Western Africa,2020,15.0,15,,,,,Western Africa,Niger,Sahara Desert crossing,"20.475905, 12.504946"
8469,Europe,2020,1.0,1,,,1.0,,Northern Africa,Morocco,Western Balkans,"43.859119, 18.300213"
8470,Europe,2020,1.0,1,,,1.0,,Unknown,Unknown,Western Balkans,"43.767444, 18.293684"
8471,Northern Africa,2020,2.0,2,,,2.0,,Sub-Saharan Africa (P),Unknown,Sahara Desert crossing,"24.96448182, 10.17538832"
8472,North America,2021,2.0,2,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"29.36820243, -103.7272989"
8473,North America,2021,1.0,1,,1.0,,,South America,Ecuador,US-Mexico border crossing,"31.1745732, -105.3571764"
8474,Mediterranean,2021,7.0,7,,4.0,1.0,1.0,Northern Africa,Algeria,Western Mediterranean,"35.97300155, 0.097709576"
8475,Mediterranean,2021,,8,79.0,,8.0,,Western Africa,"Côte d'Ivoire,Mali,Nigeria,Senegal,Togo",Central Mediterranean,"33.02654103, 13.33423606"
8476,Southern Africa,2021,6.0,12,,,,,Southern Africa,Lesotho,,"-28.89352642, 27.89818156"
8477,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Algeria,Western Mediterranean,"36.33183667, 0.717642324"
8478,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Unknown,Western Mediterranean,"35.7694288, -0.7996491"
8479,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Unknown,Western Mediterranean,"35.4913096, -1.2197178"
8480,Central America,2021,1.0,1,,,1.0,,Caribbean,Haiti,US-Mexico border crossing,"29.32804465, -100.9316879"
8481,South America,2021,4.0,7,9.0,3.0,1.0,3.0,Caribbean,Haiti,Darien,"8.629444874, -77.33744874"
8482,Northern Africa,2021,4.0,4,43.0,,4.0,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"28.2892937, -16.3786997"
8483,South America,2021,1.0,1,,1.0,,,South America,Venezuela (Bolivarian Republic of),,"10.4302113, -75.5445593"
8484,Western Asia,2021,1.0,1,,,1.0,,Unknown,Unknown,Türkiye-Europe land route,"40.94315389, 26.34585211"
8485,Western Asia,2021,1.0,1,,,1.0,,Unknown,Unknown,Türkiye-Europe land route,"40.94447125, 26.35986622"
8486,Mediterranean,2021,2.0,2,20.0,,,2.0,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.1099953, -2.7307058"
8487,South America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"0.8150687, -77.7165925"
8488,Western Asia,2021,,1,,,1.0,,Western Asia,Syrian Arab Republic,Türkiye-Europe land route,"41.42192977, 26.6253197"
8489,Northern Africa,2021,1.0,1,29.0,,1.0,,Northern Africa,Unknown,Western Africa / Atlantic route to the Canary Islands,"27.75958328, -15.68554581"
8490,Western Asia,2021,1.0,1,,,1.0,,Unknown,Unknown,Türkiye-Europe land route,"40.94382293, 26.35849293"
8491,Mediterranean,2021,4.0,10,21.0,3.0,,1.0,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.14673478, -2.427162152"
8492,Central America,2021,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"28.713166, -100.5093583"
8493,Mediterranean,2021,2.0,2,,1.0,,1.0,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.17297089, -2.906640912"
8494,North America,2021,1.0,1,,1.0,,,Caribbean,Haiti,US-Mexico border crossing,"29.33161137, -100.9372101"
8495,North America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.697183, -100.3980824"
8496,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.7117767, -100.5134411"
8497,Mediterranean,2021,3.0,3,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"35.22517618, 11.15120828"
8498,Northern Africa,2021,1.0,1,88.0,,1.0,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"27.8821317, -16.61265091"
8499,Mediterranean,2021,1.0,1,10.0,,1.0,,Northern Africa,Morocco,Western Mediterranean,"35.8859977, -5.3212788"
8500,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Morocco,Western Mediterranean,"35.9097178, -5.4004997"
8501,Mediterranean,2021,1.0,1,50.0,,,1.0,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"35.56733278, 11.81751055"
8502,Western Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Türkiye-Europe land route,"41.32424903, 26.4951148"
8503,Mediterranean,2021,1.0,1,,,1.0,,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.8996913, -5.2794323"
8504,Western Asia,2021,1.0,1,21.0,,,,Western Asia,Syrian Arab Republic,Türkiye-Europe land route,"41.66195052, 26.70196999"
8505,Western Asia,2021,1.0,1,,,1.0,,Western Asia,Syrian Arab Republic,Syria to Türkiye,"36.22571459, 36.50369628"
8506,Europe,2021,1.0,1,,,,,Unknown,Unknown,Türkiye-Europe land route,"41.63564055, 26.4825442"
8507,Northern Africa,2021,,1,34.0,,1.0,1.0,Western Africa,Guinea,Western Africa / Atlantic route to the Canary Islands,"26.87387748, -17.29929642"
8508,Mediterranean,2021,3.0,3,9.0,1.0,2.0,,Northern Africa (P),Unknown,Western Mediterranean,"37.10608588, -1.75887675"
8509,South America,2021,4.0,4,,3.0,1.0,,South America,Venezuela (Bolivarian Republic of),,"-17.8792941, -67.1556008"
8510,Mediterranean,2021,1.0,1,27.0,,1.0,,Unknown,Unknown,Eastern Mediterranean,"38.93846832, 26.17608376"
8511,Mediterranean,2021,,43,10.0,,43.0,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.97355156, 12.74816917"
8512,North America,2021,1.0,1,,,1.0,,Central America,Honduras,US-Mexico border crossing,"27.2269872, -98.1441714"
8513,Northern Africa,2021,2.0,2,50.0,,,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"27.63856693, -18.07442612"
8514,Northern Africa,2021,1.0,1,138.0,,,,Unknown,Unknown,Western Africa / Atlantic route to the Canary Islands,"27.41492993, -15.48831078"
8515,Northern Africa,2021,4.0,12,14.0,1.0,,,Northern Africa,Morocco,Western Africa / Atlantic route to the Canary Islands,"23.73083158, -15.96033042"
8516,Central America,2021,19.0,19,,3.0,9.0,1.0,Latin America / Caribbean (P),"Guatemala,Mexico,Unknown",US-Mexico border crossing,"26.06148611, -98.79338179"
8517,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Algeria,Western Mediterranean,"37.2141382, 0.39183721"
8518,Mediterranean,2021,1.0,17,82.0,5.0,12.0,2.0,Western Africa,"Côte d'Ivoire,Gambia,Ghana,Guinea,Nigeria,Togo",Central Mediterranean,"33.03608223, 13.17554545"
8519,South America,2021,1.0,1,,1.0,,,South America,Venezuela (Bolivarian Republic of),,"10.9731583, -74.7804278"
8520,Central America,2021,1.0,1,,,1.0,,Central America,El Salvador,,"20.4602715, -100.6224706"
8521,South America,2021,1.0,1,4.0,,1.0,,South America,Venezuela (Bolivarian Republic of),,"9.635836971, -73.78683013"
8522,Central America,2021,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"28.4242507, -100.7646846"
8523,Mediterranean,2021,2.0,2,,,2.0,,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.42653878, -1.248246587"
8524,Mediterranean,2021,2.0,2,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.9234588, 12.0775411"
8525,Mediterranean,2021,,1,1.0,,1.0,,Northern Africa,Morocco,Western Mediterranean,"35.8432765, -5.3610346"
8526,South America,2021,10.0,10,22.0,,,,South America,Venezuela (Bolivarian Republic of),,"6.174750949, -67.07825961"
8527,Mediterranean,2021,1.0,1,1.0,,1.0,,Northern Africa,Morocco,Western Mediterranean,"35.89656931, -5.300574116"
8528,Mediterranean,2021,2.0,2,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.7868817, 12.6934048"
8529,Mediterranean,2021,4.0,4,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.79307166, 13.7144354"
8530,Western Asia,2021,1.0,1,,,1.0,,Middle Africa,Congo,Türkiye-Europe land route,"41.88057683, 26.57182178"
8531,North America,2021,1.0,1,,,1.0,,Caribbean,Cuba,US-Mexico border crossing,"26.1087466, -98.2652505"
8532,North America,2021,1.0,1,16.0,,,,Central America,Mexico,US-Mexico border crossing,"32.54143422, -117.0448118"
8533,Western Asia,2021,2.0,2,,,2.0,,Unknown,Unknown,Türkiye-Europe land route,"41.8770148, 27.763265"
8534,Europe,2021,1.0,1,10.0,,,,Unknown,Unknown,,"40.3197723, 21.4275888"
8535,Mediterranean,2021,1.0,1,,,,,Northern Africa,Algeria,Central Mediterranean,"36.9436603, 7.2022727"
