,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
1705,North America,2016,1.0,1,,1.0,,,Central America,Guatemala,US-Mexico border crossing,"31.773083, -111.918183"
1706,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.98296, -110.5362"
1707,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,,"-14.3850502, 34.3069123"
1708,Eastern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,,"-9.3304513, 32.746017"
1709,North America,2016,1.0,1,,1.0,,,Central America,Mexico,US-Mexico border crossing,"31.64488, -111.91678"
1710,Mediterranean,2016,,17,,,,,Eastern Africa,Ethiopia,Central Mediterranean,"40.6679395, 17.9414401"
1711,Mediterranean,2016,6.0,6,1000.0,,,,Unknown,Unknown,Central Mediterranean,"31.4562342, 15.4573987"
1712,Central America,2016,1.0,1,,,1.0,,Central America,El Salvador,US-Mexico border crossing,"24.215586, -99.4332699"
1713,Mediterranean,2016,1.0,1,,,,,Unknown,Unknown,Central Mediterranean,"37.6557576, 15.6009929"
1714,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.10363, -111.52543"
1715,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"28.4226837, -100.0344494"
1716,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.953017, -112.87445"
1717,North America,2016,1.0,1,,,1.0,,Central America,El Salvador,US-Mexico border crossing,"32.26201, -112.69105"
1718,Central America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"18.28446, -95.85083"
1719,Mediterranean,2016,10.0,10,107.0,10.0,,,Unknown,Unknown,Central Mediterranean,"37.0930737, 11.8610189"
1720,Northern Africa,2016,3.0,3,,,,,Unknown,Unknown,Sahara Desert crossing,"27.0663171, 14.3336145"
1721,Western Africa,2016,2.0,2,,,,,Unknown,Unknown,Sahara Desert crossing,"22.73438554, 12.9393314082"
1722,Western Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"22.84844646, 12.205285"
1723,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"27.0663171, 14.3336145"
1724,Northern Africa,2016,2.0,2,,,,,Unknown,Unknown,Sahara Desert crossing,"27.0663171, 14.3336145"
1725,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"27.0663171, 14.3336145"
1726,Western Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"21.82621055, 10.806275375"
1727,Northern Africa,2016,2.0,2,,,,,Unknown,Unknown,Sahara Desert crossing,"27.0663171, 14.3336145"
1728,Northern Africa,2016,3.0,3,,,,,Unknown,Unknown,Sahara Desert crossing,"19.52626236, 27.405136"
1729,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,,"32.7811016, 12.4495221"
1730,Western Africa,2016,15.0,15,,,,,Unknown,Unknown,Sahara Desert crossing,"19.70455736, 10.3393844564"
1731,Northern Africa,2016,1.0,1,,,,,Unknown,Unknown,,"32.86414222, 13.1995780461"
1732,Western Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"23.79076872, 12.8497324063"
1733,Northern Africa,2016,3.0,3,,,,,Unknown,Unknown,,"32.86414222, 13.1762320988"
1734,Western Africa,2016,1.0,1,,,,,Unknown,Unknown,Sahara Desert crossing,"22.84844646, 12.205285"
1735,Mediterranean,2016,13.0,17,11.0,,,,Northern Africa,Tunisia,Central Mediterranean,"35.1025073, 12.135376"
1736,North America,2016,,1,,1.0,,,Central America,El Salvador,US-Mexico border crossing,"28.4226837, -100.0344494"
1737,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.07215, -112.972419"
1738,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.5001341, 32.5144024"
1739,Europe,2016,1.0,1,,,1.0,1.0,Western Africa,Mali,English Channel to the UK,"50.972636, 1.8907415"
1740,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.03956, -113.03051"
1741,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.29616, -113.14816"
1742,Western Asia,2016,1.0,1,,,1.0,,Eastern Africa,Ethiopia,,"14.0026208, 48.3474209"
